Gen	lnL	lnP	TL	Insertion	Deletion	
38100	-36059.7	-980.299	3.23415	0.204149	0.243412	
38200	-36066.1	-980.65	3.23415	0.204149	0.243412	
38300	-36071.8	-981.035	3.26921	0.201896	0.240725	
38400	-36064.1	-980.969	3.29781	0.201896	0.240725	
38500	-36079.4	-982.148	3.4692	0.19785	0.2359	
38600	-36073	-977.789	3.12127	0.19785	0.2359	
38700	-36073.4	-981.03	3.42784	0.19785	0.2359	
38800	-36101.6	-979.045	3.52797	0.199379	0.234371	
38900	-36091.9	-976.399	3.27948	0.199379	0.234371	
39000	-36113.9	-977.207	3.27948	0.199379	0.234371	
39100	-36115.8	-980.336	3.20483	0.197691	0.236059	
39200	-36132.9	-985.972	3.54286	0.197228	0.236522	
39300	-36132.2	-983.557	3.30136	0.197228	0.236522	
39400	-36143.5	-984.038	3.29493	0.197228	0.236522	
39500	-36173.3	-985.793	3.3978	0.197228	0.236522	
39600	-36151.7	-985.067	3.3978	0.197228	0.236522	
39700	-36149.9	-984.61	3.37028	0.197228	0.236522	
39800	-36163	-985.763	3.27865	0.204985	0.245824	
39900	-36185.6	-986.725	3.28405	0.204985	0.245824	
40000	-36177.8	-986.812	3.29275	0.204985	0.245824	
40100	-36151.7	-985.538	3.2925	0.204985	0.245824	
40200	-36150.1	-983.701	3.13565	0.206242	0.247332	
40300	-36138.9	-982.709	3.07284	0.206242	0.247332	
40400	-36128.7	-982.164	3.07284	0.206242	0.247332	
40500	-36126.3	-982.534	3.12339	0.205626	0.246594	
40600	-36151.6	-983.534	3.09621	0.205626	0.246594	
40700	-36148.5	-982.528	3.01377	0.205626	0.246594	
40800	-36145.6	-982.303	3.00944	0.205626	0.246594	
40900	-36124.6	-984.503	3.32028	0.205626	0.246594	
41000	-36122.6	-983.157	3.2038	0.205626	0.246594	
41100	-36109.9	-981.924	3.15321	0.205626	0.246594	
41200	-36115.5	-982.308	3.1552	0.205626	0.246594	
41300	-36110	-983.683	3.34727	0.205626	0.246594	
41400	-36117	-983.766	3.34559	0.203603	0.244168	
41500	-36116.2	-983.523	3.30304	0.203603	0.244168	
41600	-36119	-982.372	3.25086	0.201571	0.241731	
41700	-36125.2	-983.892	3.40283	0.201571	0.241731	
41800	-36122.8	-983.658	3.32494	0.201571	0.241731	
41900	-36120.4	-982.735	3.19629	0.201571	0.241731	
42000	-36117.4	-982.735	3.19629	0.201571	0.241731	
42100	-36117.1	-984.297	3.33436	0.201571	0.241731	
42200	-36126	-983.296	3.19787	0.201571	0.241731	
42300	-36115.8	-983.922	3.315	0.201571	0.241731	
42400	-36083.8	-982.832	3.315	0.201571	0.241731	
42500	-36056	-979.288	3.12789	0.199747	0.239544	
42600	-36046.2	-979.384	3.19203	0.199747	0.239544	
42700	-36066.7	-980.599	3.22263	0.199747	0.239544	
42800	-36081.9	-980.962	3.22263	0.199747	0.239544	
42900	-36081.5	-980.739	3.20028	0.199747	0.239544	
43000	-36081.4	-980.362	3.18074	0.199747	0.239544	
43100	-36071.2	-980.363	3.23541	0.199747	0.239544	
43200	-36067.3	-980.182	3.23541	0.199747	0.239544	
43300	-36067.4	-980.545	3.23541	0.199747	0.239544	
43400	-36075.7	-980.545	3.23541	0.199747	0.239544	
43500	-36082.7	-980.727	3.23541	0.199747	0.239544	
43600	-36070.9	-981.546	3.33557	0.199747	0.239544	
43700	-36077.9	-979.345	3.16988	0.199747	0.239544	
43800	-36085.8	-980.928	3.29184	0.199747	0.239544	
43900	-36108.9	-989.081	3.29184	0.198057	0.241234	
44000	-36091.5	-984.725	3.18699	0.198666	0.240624	
44100	-36074.9	-985.426	3.25711	0.198666	0.240624	
44200	-36091.2	-985.809	3.25711	0.198666	0.240624	
44300	-36092.6	-986.576	3.25711	0.198666	0.240624	
44400	-36100.4	-986.496	3.25711	0.198685	0.240606	
44500	-36088.5	-976.012	3.25711	0.202259	0.237032	
44600	-36092.8	-976.547	3.3106	0.202259	0.237032	
44700	-36102.2	-975.905	3.21469	0.202259	0.237032	
44800	-36086.5	-976.6	3.31594	0.202259	0.237032	
44900	-36075.6	-976.029	3.27475	0.202259	0.237032	
45000	-36069.7	-976.211	3.32458	0.202259	0.237032	
45100	-36055.6	-975.148	3.23423	0.202259	0.237032	
45200	-36076.6	-975.836	3.25539	0.202259	0.237032	
45300	-36078.1	-978.528	3.23363	0.200725	0.238566	
45400	-36056.4	-978.915	3.34135	0.200725	0.238566	
45500	-36043.6	-977.14	3.21572	0.200725	0.238566	
45600	-36066.9	-977.297	3.17959	0.200725	0.238566	
45700	-36076.2	-978.765	3.27463	0.200725	0.238566	
45800	-36082.8	-977.73	3.15384	0.200725	0.238566	
45900	-36064	-980.854	3.19761	0.199652	0.239639	
46000	-36060.5	-981.624	3.29283	0.199652	0.239639	
46100	-36075.7	-982.648	3.34042	0.199652	0.239639	
46200	-36086.1	-982.974	3.31832	0.199652	0.239639	
